,Genotype,BLUEs,ExperimentalSite,IRDNC_ID
99,Genotype99,3498.830809,IRRICT,IRD10413
100,Genotype100,2734.390416,MMKyaukse,IRD10413
101,Genotype101,607.9830054,BDTanore,IRD10413
102,Genotype102,1792.868217,BDLalpur,IRD10413
103,Genotype103,2981.05846,IRRIHNT,IRD10413
104,Genotype104,1739.084005,MMYezin,IRD10413
105,Genotype105,2695.946657,MMKyaukse,IRD10186
106,Genotype106,714.9821109,BDTanore,IRD10186
107,Genotype107,1835.678295,BDLalpur,IRD10186
108,Genotype108,3759.184625,MMYezin,IRD10186
109,Genotype109,4575.864689,IRRICT,IRD10186
110,Genotype110,2498.327754,MMPangkone,IRD10186
111,Genotype111,5292.826342,IRRIHNT,IRD10186
112,Genotype112,655.6425164,BDTanore,IRD10480
113,Genotype113,3171.184593,MMKyaukse,IRD10480
114,Genotype114,4525.53187,IRRICT,IRD10480
115,Genotype115,2086.419574,BDLalpur,IRD10480
116,Genotype116,5627.142706,IRRIHNT,IRD10480
117,Genotype117,3654.059498,MMYezin,IRD10480
118,Genotype118,2830.246796,MMPangkone,IRD10480
119,Genotype119,2797.469767,MMKyaukse,IRD10949
120,Genotype120,381.63387,BDTanore,IRD10949
121,Genotype121,4921.689126,IRRIHNT,IRD10949
122,Genotype122,7345.571041,IRRICT,IRD10949
123,Genotype123,3335.794574,BDLalpur,IRD10949
124,Genotype124,2081.627026,MMPangkone,IRD10949
125,Genotype125,675.0742727,MMYezin,IRD10949
126,Genotype126,3997.8305,IRRICT,IRD10698
127,Genotype127,3687.192224,IRRIHNT,IRD10698
128,Genotype128,2638.102229,IRRICT,IRD10396
129,Genotype129,3097.634314,IRRIHNT,IRD10396
130,Genotype130,2126.316756,IRRICT,IRD10839
131,Genotype131,3209.565058,IRRIHNT,IRD10839
132,Genotype132,4262.723956,IRRIHNT,IRD10787
133,Genotype133,775.4584079,BDTanore,IRD10787
134,Genotype134,2868.614341,BDLalpur,IRD10787
135,Genotype135,4433.40551,MMYezin,IRD10787
136,Genotype136,2199.388227,MMKyaukse,IRD10787
137,Genotype137,2808.889639,IRRICT,IRD10787
138,Genotype138,3446.681642,MMPangkone,IRD10787
139,Genotype139,4039.663025,IRRICT,IRD10676
140,Genotype140,5303.018503,IRRIHNT,IRD10676
141,Genotype141,3379.134367,BDLalpur,IRD10912
142,Genotype142,2865.812767,MMPangkone,IRD10912
143,Genotype143,6795.817552,IRRICT,IRD10912
144,Genotype144,3590.087209,MMKyaukse,IRD10912
145,Genotype145,2562.753429,BDTanore,IRD10912
146,Genotype146,4461.807333,IRRIHNT,IRD10912
147,Genotype147,3087.793857,MMYezin,IRD10912
148,Genotype148,3125.019722,MMYezin,IRD10457
149,Genotype149,4160.759438,IRRICT,IRD10457
150,Genotype150,3048.622416,BDLalpur,IRD10457
151,Genotype151,2303.323937,MMKyaukse,IRD10457
152,Genotype152,3233.072419,IRRIHNT,IRD10457
153,Genotype153,603.8610614,BDTanore,IRD10457
154,Genotype154,4436.511628,MMPangkone,IRD10457
155,Genotype155,4475.128313,IRRIHNT,IRD10895
156,Genotype156,419.3761181,BDTanore,IRD10895
157,Genotype157,4631.628768,IRRICT,IRD10895
158,Genotype158,2207.796366,MMKyaukse,IRD10895
159,Genotype159,2287.151321,MMYezin,IRD10895
160,Genotype160,3852.066416,MMPangkone,IRD10895
161,Genotype161,1602.733646,BDLalpur,IRD10895
162,Genotype162,2750.55275,IRRICT,IRD10414
163,Genotype163,2567.060196,IRRIHNT,IRD10414
164,Genotype164,3156.26906,IRRICT,IRD10857
165,Genotype165,3237.041523,IRRIHNT,IRD10857
166,Genotype166,2930.131507,IRRICT,IRD10428
167,Genotype167,3476.048667,IRRIHNT,IRD10428
168,Genotype168,1094.163685,BDTanore,IRD10334
169,Genotype169,3263.197674,MMPangkone,IRD10334
170,Genotype170,2245.799419,MMKyaukse,IRD10334
171,Genotype171,3887.52489,MMYezin,IRD10334
172,Genotype172,3943.904763,IRRICT,IRD10334
173,Genotype173,5218.823703,IRRIHNT,IRD10334
174,Genotype174,2798.323643,BDLalpur,IRD10334
175,Genotype175,3007.114123,MMYezin,IRD10829
176,Genotype176,1081.469887,BDTanore,IRD10829
177,Genotype177,4336.302238,MMPangkone,IRD10829
178,Genotype178,3405.245478,BDLalpur,IRD10829
179,Genotype179,4441.832426,IRRIHNT,IRD10829
180,Genotype180,3692.115927,MMKyaukse,IRD10829
181,Genotype181,867.6244782,BDTanore,IRD10530
182,Genotype182,3243.843669,BDLalpur,IRD10530
183,Genotype183,2380.197322,MMPangkone,IRD10530
184,Genotype184,4432.099483,MMYezin,IRD10530
185,Genotype185,1718.829679,IRRICT,IRD10530
186,Genotype186,3238.982558,MMKyaukse,IRD10530
187,Genotype187,3124.15567,IRRIHNT,IRD10530
188,Genotype188,5008.408266,IRRICT,IRD10226
189,Genotype189,3325.465116,MMKyaukse,IRD10226
190,Genotype190,5272.32622,MMYezin,IRD10226
191,Genotype191,4977.419544,MMPangkone,IRD10226
192,Genotype192,805.9779368,BDTanore,IRD10226
193,Genotype193,3502.172686,IRRIHNT,IRD10226
194,Genotype194,2990.465116,BDLalpur,IRD10226
195,Genotype195,3374.812936,MMKyaukse,IRD10592
196,Genotype196,3246.998231,MMYezin,IRD10592
197,Genotype197,3628.621388,MMPangkone,IRD10592
198,Genotype198,354.3157424,BDTanore,IRD10592
199,Genotype199,2204.68778,BDLalpur,IRD10592
200,Genotype200,4688.341298,IRRICT,IRD10592
201,Genotype201,4015.47977,IRRIHNT,IRD10592
202,Genotype202,5138.824597,IRRIHNT,IRD10858
203,Genotype203,4308.349253,IRRICT,IRD10858
204,Genotype204,2758.696221,MMKyaukse,IRD10431
205,Genotype205,4105.212004,MMPangkone,IRD10431
206,Genotype206,4227.043202,IRRIHNT,IRD10431
207,Genotype207,3812.144703,BDLalpur,IRD10431
208,Genotype208,3342.770475,MMYezin,IRD10431
209,Genotype209,5032.168471,IRRICT,IRD10431
210,Genotype210,768.783542,BDTanore,IRD10431
211,Genotype211,2901.605877,IRRICT,IRD10559
212,Genotype212,3763.857583,IRRIHNT,IRD10559
213,Genotype213,923.5539654,BDTanore,IRD11003
214,Genotype214,2365.671835,BDLalpur,IRD11003
215,Genotype215,4147.876433,IRRICT,IRD11003
216,Genotype216,2145.022544,MMKyaukse,IRD11003
217,Genotype217,2216.526313,MMPangkone,IRD11003
218,Genotype218,4368.826188,MMYezin,IRD11003
219,Genotype219,1530.556219,IRRIHNT,IRD11003
220,Genotype220,2099.139739,BDLalpur,IRD10328
221,Genotype221,2260.78738,MMKyaukse,IRD10328
222,Genotype222,4363.122472,MMYezin,IRD10328
223,Genotype223,924.8062016,BDTanore,IRD10328
224,Genotype224,3612.55814,MMPangkone,IRD10328
225,Genotype225,4344.890596,IRRIHNT,IRD10328
226,Genotype226,3909.835969,IRRICT,IRD10328
227,Genotype227,2087.5,MMKyaukse,IRD10374
228,Genotype228,3513.536972,IRRIHNT,IRD10374
229,Genotype229,3277.383721,MMPangkone,IRD10374
230,Genotype230,764.177102,BDTanore,IRD10374
231,Genotype231,4628.544762,MMYezin,IRD10374
232,Genotype232,3336.385889,IRRICT,IRD10374
233,Genotype233,3870.355297,BDLalpur,IRD10374
234,Genotype234,4883.304428,IRRICT,IRD10391
235,Genotype235,3708.878171,IRRIHNT,IRD10391
236,Genotype236,4311.569767,MMPangkone,IRD10854
237,Genotype237,1862.713178,BDLalpur,IRD10854
238,Genotype238,5658.134186,IRRIHNT,IRD10854
239,Genotype239,4751.96786,IRRICT,IRD10854
240,Genotype240,4360.721057,MMYezin,IRD10854
241,Genotype241,373.4607931,BDTanore,IRD10854
242,Genotype242,3471.757413,MMKyaukse,IRD10854
243,Genotype243,754.5840787,BDTanore,IRD10361
244,Genotype244,3735.273861,IRRICT,IRD10361
245,Genotype245,3663.099951,MMPangkone,IRD10361
246,Genotype246,4529.926518,MMYezin,IRD10361
247,Genotype247,4133.644007,IRRIHNT,IRD10361
248,Genotype248,1117.647491,BDLalpur,IRD10361
249,Genotype249,3336.164846,MMKyaukse,IRD10361
250,Genotype250,6080.981761,IRRICT,IRD10955
251,Genotype251,526.7665474,BDTanore,IRD10955
252,Genotype252,2713.908709,MMPangkone,IRD10955
253,Genotype253,1262.80253,BDLalpur,IRD10955
254,Genotype254,4680.851769,IRRIHNT,IRD10955
255,Genotype255,1754.467551,MMYezin,IRD10955
256,Genotype256,2866.569767,MMKyaukse,IRD10955
257,Genotype257,1083.155431,IRRICT,IRD10890
258,Genotype258,993.6614357,IRRIHNT,IRD10890
259,Genotype259,3407.869376,MMYezin,IRD10911
260,Genotype260,4586.389946,IRRIHNT,IRD10911
261,Genotype261,2792.305596,MMPangkone,IRD10911
262,Genotype262,572.9576625,BDTanore,IRD10911
263,Genotype263,1308.560519,BDLalpur,IRD10911
264,Genotype264,3770.317827,IRRICT,IRD10911
265,Genotype265,2130.659796,MMKyaukse,IRD10911
266,Genotype266,1816.762742,IRRIHNT,IRD10719
267,Genotype267,2800.047923,MMYezin,IRD10719
268,Genotype268,1721.017442,BDLalpur,IRD10719
269,Genotype269,1944.186047,MMPangkone,IRD10719
270,Genotype270,2161.09065,IRRICT,IRD10719
271,Genotype271,1352.637421,MMKyaukse,IRD10719
272,Genotype272,454.643709,BDTanore,IRD10719
273,Genotype273,3708.464185,IRRICT,IRD10190
274,Genotype274,2991.515128,IRRIHNT,IRD10190
275,Genotype275,2249.883721,MMKyaukse,IRD10432
276,Genotype276,984.0503876,BDLalpur,IRD10432
277,Genotype277,3049.7384,IRRICT,IRD10432
278,Genotype278,2116.293605,MMPangkone,IRD10432
279,Genotype279,2183.46657,MMYezin,IRD10432
280,Genotype280,4735.627215,IRRIHNT,IRD10432
281,Genotype281,695.1252236,BDTanore,IRD10432
282,Genotype282,2512.854365,IRRICT,IRD10377
283,Genotype283,2228.570508,IRRIHNT,IRD10377
284,Genotype284,4481.781937,IRRICT,IRD10733
285,Genotype285,2568.929123,IRRIHNT,IRD10733
286,Genotype286,2151.910836,IRRICT,IRD10304
287,Genotype287,2116.30636,IRRIHNT,IRD10304
288,Genotype288,3235.882047,MMKyaukse,IRD10701
289,Genotype289,1952.372244,IRRICT,IRD10701
290,Genotype290,2737.703488,MMPangkone,IRD10701
291,Genotype291,2246.576699,IRRIHNT,IRD10701
292,Genotype292,3050.697674,BDLalpur,IRD10701
293,Genotype293,1573.385013,MMYezin,IRD10701
294,Genotype294,664.7734049,BDTanore,IRD10701
295,Genotype295,1881.436789,MMPangkone,IRD10175
296,Genotype296,2484.518734,BDLalpur,IRD10175
297,Genotype297,3402.524115,MMYezin,IRD10175
298,Genotype298,1910.227273,MMKyaukse,IRD10175
299,Genotype299,1779.550172,IRRIHNT,IRD10175
300,Genotype300,1976.066978,IRRICT,IRD10175
301,Genotype301,412.6416219,BDTanore,IRD10175
302,Genotype302,2270.05445,IRRICT,IRD10165
303,Genotype303,2502.464723,IRRIHNT,IRD10165
304,Genotype304,1984.534175,IRRIHNT,IRD10696
305,Genotype305,2451.632785,IRRICT,IRD10696
306,Genotype306,1935.634351,IRRIHNT,IRD10765
307,Genotype307,1841.204221,IRRICT,IRD10765
308,Genotype308,3295.741279,MMPangkone,IRD10634
309,Genotype309,2585.218023,MMKyaukse,IRD10634
310,Genotype310,2167.4677,BDLalpur,IRD10634
311,Genotype311,3011.171414,IRRIHNT,IRD10634
312,Genotype312,1748.051937,IRRICT,IRD10634
313,Genotype313,580.1431127,BDTanore,IRD10634
314,Genotype314,2157.392817,MMYezin,IRD10634
315,Genotype315,4021.422044,IRRICT,IRD10395
316,Genotype316,2141.773256,MMPangkone,IRD10395
317,Genotype317,3447.677368,MMYezin,IRD10395
318,Genotype318,3115.072674,MMKyaukse,IRD10395
319,Genotype319,1164.967203,BDTanore,IRD10395
320,Genotype320,3336.065891,BDLalpur,IRD10395
321,Genotype321,5511.42861,IRRIHNT,IRD10395
322,Genotype322,4123.928033,IRRICT,IRD10270
323,Genotype323,3021.449003,MMKyaukse,IRD10270
324,Genotype324,3228.352503,MMYezin,IRD10270
325,Genotype325,1920.998062,BDLalpur,IRD10270
326,Genotype326,3769.597219,MMPangkone,IRD10270
327,Genotype327,678.7902504,BDTanore,IRD10270
328,Genotype328,3772.286592,IRRIHNT,IRD10270
329,Genotype329,1881.839718,IRRICT,IRD10846
330,Genotype330,1752.812996,IRRIHNT,IRD10846
331,Genotype331,2596.007752,BDLalpur,IRD10683
332,Genotype332,2685.091243,IRRIHNT,IRD10683
333,Genotype333,2524.783757,MMKyaukse,IRD10683
334,Genotype334,2407.118933,MMYezin,IRD10683
335,Genotype335,2746.604416,IRRICT,IRD10683
336,Genotype336,2907.294732,MMPangkone,IRD10683
337,Genotype337,1496.243292,BDTanore,IRD10683
338,Genotype338,3370.992684,IRRIHNT,IRD10772
339,Genotype339,3063.373123,IRRICT,IRD10772
340,Genotype340,2279.793366,MMKyaukse,IRD10770
341,Genotype341,1707.060917,IRRIHNT,IRD10770
342,Genotype342,3084.449781,MMYezin,IRD10770
343,Genotype343,2682.110674,IRRICT,IRD10770
344,Genotype344,337.0155039,BDTanore,IRD10770
345,Genotype345,1480.985142,BDLalpur,IRD10770
346,Genotype346,1535.465116,MMPangkone,IRD10770
347,Genotype347,1311.516892,IRRICT,IRD10897
348,Genotype348,1365.36067,IRRIHNT,IRD10897
349,Genotype349,3208.706881,IRRIHNT,IRD10621
350,Genotype350,4069.054321,IRRICT,IRD10621
351,Genotype351,1594.940742,MMYezin,IRD10309
352,Genotype352,3466.925065,BDLalpur,IRD10309
353,Genotype353,1955.811047,MMKyaukse,IRD10309
354,Genotype354,3932.816066,IRRICT,IRD10309
355,Genotype355,3569.547471,MMPangkone,IRD10309
356,Genotype356,2667.660005,IRRIHNT,IRD10309
357,Genotype357,1368.723912,BDTanore,IRD10309
358,Genotype358,1680.062675,IRRIHNT,IRD10343
359,Genotype359,705.9449135,IRRICT,IRD10343
360,Genotype360,4759.306889,IRRICT,IRD10725
361,Genotype361,4630.119319,MMYezin,IRD10725
362,Genotype362,4732.032974,IRRIHNT,IRD10725
363,Genotype363,4017.284053,MMPangkone,IRD10725
364,Genotype364,2446.002907,MMKyaukse,IRD10725
365,Genotype365,3644.825581,BDLalpur,IRD10725
366,Genotype366,669.0891473,BDTanore,IRD10725
367,Genotype367,2036.128595,MMYezin,IRD10448
368,Genotype368,1550.594315,BDLalpur,IRD10448
369,Genotype369,1077.349398,IRRICT,IRD10448
370,Genotype370,4584.431656,MMPangkone,IRD10448
371,Genotype371,2640.793507,IRRIHNT,IRD10448
372,Genotype372,3504.069767,MMKyaukse,IRD10448
373,Genotype373,729.8449612,BDTanore,IRD10448
374,Genotype374,3874.636504,IRRICT,IRD10314
375,Genotype375,2997.68628,IRRIHNT,IRD10314
376,Genotype376,4035.988372,MMPangkone,IRD10582
377,Genotype377,697.6669648,BDTanore,IRD10582
378,Genotype378,2906.744186,MMKyaukse,IRD10582
379,Genotype379,3299.864341,MMYezin,IRD10582
380,Genotype380,2928.14719,IRRICT,IRD10582
381,Genotype381,1897.286822,BDLalpur,IRD10582
382,Genotype382,2432.306713,IRRIHNT,IRD10582
383,Genotype383,1797.935753,MMPangkone,IRD10673
384,Genotype384,3017.064857,IRRICT,IRD10673
385,Genotype385,1849.37221,MMKyaukse,IRD10673
386,Genotype386,2772.115532,IRRIHNT,IRD10673
387,Genotype387,4148.25482,MMYezin,IRD10673
388,Genotype388,2600.528628,BDLalpur,IRD10673
389,Genotype389,530.6350626,BDTanore,IRD10673
390,Genotype390,2084.833656,BDLalpur,IRD10415
391,Genotype391,1371.143806,MMPangkone,IRD10415
392,Genotype392,1067.740012,BDTanore,IRD10415
393,Genotype393,3708.488864,MMYezin,IRD10415
394,Genotype394,1548.989099,MMKyaukse,IRD10415
395,Genotype395,4803.738555,IRRIHNT,IRD10415
396,Genotype396,4427.65603,IRRICT,IRD10415
397,Genotype397,2156.414232,IRRICT,IRD10943
398,Genotype398,3680.261922,MMKyaukse,IRD10943
399,Genotype399,707.3009839,BDTanore,IRD10943
400,Genotype400,3830.064692,MMYezin,IRD10943
401,Genotype401,3261.66854,IRRIHNT,IRD10943
402,Genotype402,2165.436047,MMPangkone,IRD10943
403,Genotype403,1669.192506,BDLalpur,IRD10943
404,Genotype404,4692.503476,MMYezin,IRD10595
405,Genotype405,3125.915313,IRRIHNT,IRD10595
406,Genotype406,1196.413114,BDLalpur,IRD10595
407,Genotype407,3211.38289,MMKyaukse,IRD10595
408,Genotype408,3024.127907,MMPangkone,IRD10595
409,Genotype409,576.013715,BDTanore,IRD10595
410,Genotype410,3769.991172,IRRICT,IRD10595
411,Genotype411,2208.371544,IRRIHNT,IRD10208
412,Genotype412,3210.316277,IRRICT,IRD10208
413,Genotype413,3275.145349,MMKyaukse,IRD10886
414,Genotype414,2523.629543,MMYezin,IRD10886
415,Genotype415,3412.873665,IRRICT,IRD10886
416,Genotype416,807.7034884,BDTanore,IRD10886
417,Genotype417,1980.494186,MMPangkone,IRD10886
418,Genotype418,3276.595048,IRRIHNT,IRD10886
419,Genotype419,3614.489664,BDLalpur,IRD10886
420,Genotype420,3188.869592,IRRIHNT,IRD10727
421,Genotype421,4391.83229,IRRICT,IRD10727
422,Genotype422,3753.392633,IRRIHNT,IRD10791
423,Genotype423,3509.378321,IRRICT,IRD10791
424,Genotype424,2900.20855,IRRIHNT,IRD10799
425,Genotype425,4573.871409,MMPangkone,IRD10799
426,Genotype426,856.1270125,BDTanore,IRD10799
427,Genotype427,3284.785333,IRRICT,IRD10799
428,Genotype428,1983.349483,BDLalpur,IRD10799
429,Genotype429,1654.042349,MMYezin,IRD10799
430,Genotype430,2510.05814,MMKyaukse,IRD10799
431,Genotype431,2786.710505,IRRIHNT,IRD10952
432,Genotype432,1121.444521,IRRICT,IRD10952
433,Genotype433,2978.644078,IRRICT,IRD10272
434,Genotype434,3065.025772,IRRIHNT,IRD10272
435,Genotype435,480.3667263,BDTanore,IRD10503
436,Genotype436,4601.315099,IRRICT,IRD10503
437,Genotype437,4287.250862,IRRIHNT,IRD10503
438,Genotype438,2571.031977,MMPangkone,IRD10503
439,Genotype439,3751.715748,MMYezin,IRD10503
440,Genotype440,2788.081395,MMKyaukse,IRD10503
441,Genotype441,1832.396641,BDLalpur,IRD10503
442,Genotype442,4194.017681,IRRIHNT,IRD10790
443,Genotype443,3352.042341,IRRICT,IRD10790
444,Genotype444,2994.783151,IRRICT,IRD10398
445,Genotype445,2811.588397,IRRIHNT,IRD10398
446,Genotype446,2219.998385,BDLalpur,IRD10815
447,Genotype447,3765.544084,MMKyaukse,IRD10815
448,Genotype448,3303.837209,MMPangkone,IRD10815
449,Genotype449,4790.367268,IRRIHNT,IRD10815
450,Genotype450,378.2871199,BDTanore,IRD10815
451,Genotype451,4460.046663,IRRICT,IRD10815
452,Genotype452,3859.977899,MMYezin,IRD10815
453,Genotype453,2488.415239,MMKyaukse,IRD10421
454,Genotype454,2911.128876,MMPangkone,IRD10421
455,Genotype455,4067.880013,MMYezin,IRD10421
456,Genotype456,3852.678019,IRRICT,IRD10421
457,Genotype457,1788.472222,BDLalpur,IRD10421
458,Genotype458,683.5494931,BDTanore,IRD10421
459,Genotype459,3574.053257,IRRIHNT,IRD10421
460,Genotype460,1959.360465,MMKyaukse,IRD10767
461,Genotype461,310.8378056,BDTanore,IRD10767
462,Genotype462,2998.420948,IRRIHNT,IRD10767
463,Genotype463,3076.014809,MMYezin,IRD10767
464,Genotype464,2325.939054,IRRICT,IRD10767
465,Genotype465,1694.613491,BDLalpur,IRD10767
466,Genotype466,3022.977229,MMPangkone,IRD10767
467,Genotype467,2762.790698,MMPangkone,IRD10782
468,Genotype468,1401.610018,BDTanore,IRD10782
469,Genotype469,2408.995026,IRRIHNT,IRD10782
470,Genotype470,2751.992091,MMKyaukse,IRD10782
471,Genotype471,2163.241224,MMYezin,IRD10782
472,Genotype472,2063.17345,BDLalpur,IRD10782
473,Genotype473,1805.005841,IRRICT,IRD10782
474,Genotype474,3171.002907,MMYezin,IRD10302
475,Genotype475,3146.821298,IRRICT,IRD10302
476,Genotype476,3498.45211,MMKyaukse,IRD10302
477,Genotype477,1830,MMPangkone,IRD10302
478,Genotype478,3371.712532,IRRIHNT,IRD10302
479,Genotype479,716.4989565,BDTanore,IRD10302
480,Genotype480,2222.48062,BDLalpur,IRD10302
481,Genotype481,3600.892507,MMPangkone,IRD10472
482,Genotype482,3400.159884,MMKyaukse,IRD10472
483,Genotype483,3322.803697,IRRICT,IRD10472
484,Genotype484,919.7227191,BDTanore,IRD10472
485,Genotype485,2383.873444,IRRIHNT,IRD10472
486,Genotype486,3039.576692,MMYezin,IRD10472
487,Genotype487,2196.639212,BDLalpur,IRD10472
488,Genotype488,4021.033641,IRRICT,IRD10847
489,Genotype489,3407.376453,MMKyaukse,IRD10847
490,Genotype490,3689.338489,IRRIHNT,IRD10847
491,Genotype491,3293.549926,MMYezin,IRD10847
492,Genotype492,429.3530113,BDTanore,IRD10847
493,Genotype493,3694.45705,MMPangkone,IRD10847
494,Genotype494,1955.050592,BDLalpur,IRD10847
495,Genotype495,2942.500904,IRRIHNT,IRD10504
496,Genotype496,3184.781478,IRRICT,IRD10504
497,Genotype497,3923.206739,IRRIHNT,IRD10972
498,Genotype498,5267.601577,IRRICT,IRD10972
499,Genotype499,628.8014311,BDTanore,IRD10707
500,Genotype500,2027.806848,BDLalpur,IRD10707
501,Genotype501,5090.887509,IRRIHNT,IRD10707
502,Genotype502,4177.729411,MMKyaukse,IRD10707
503,Genotype503,1949.933106,MMYezin,IRD10707
504,Genotype504,4479.062026,IRRICT,IRD10707
505,Genotype505,2101.773256,MMPangkone,IRD10707
506,Genotype506,1209.140827,BDLalpur,IRD10439
507,Genotype507,534.742099,BDTanore,IRD10439
508,Genotype508,1870.33685,MMPangkone,IRD10439
509,Genotype509,3302.396746,IRRIHNT,IRD10439
510,Genotype510,1635.487867,MMYezin,IRD10439
511,Genotype511,2771.231357,IRRICT,IRD10439
512,Genotype512,2414.200581,MMKyaukse,IRD10439
513,Genotype513,2816.769785,IRRIHNT,IRD10614
514,Genotype514,1328.433053,IRRICT,IRD10614
515,Genotype515,1351.790772,BDTanore,IRD10303
516,Genotype516,3054.006812,IRRIHNT,IRD10303
517,Genotype517,3877.258437,IRRICT,IRD10303
518,Genotype518,886.6863625,MMYezin,IRD10303
519,Genotype519,2342.173773,BDLalpur,IRD10303
520,Genotype520,2881.686047,MMKyaukse,IRD10303
521,Genotype521,4666.73588,MMPangkone,IRD10303
